tituloOriginal,ranking,genero,anyo,presupuesto,duraccion,pais,titulo
,#106,,2017,,,Spider-Man: Homecoming,
If I Stay,#449,"DiNovi Pictures, Warner Bros. Pictures",2014,,106 minutos,EE.UU.,If I Stay
Big Hero 6,#450,"Aventura, Animación",2014,165.000.000$,108 minutos,EE.UU.,Big Hero 6
127 hours,#451,"Drama, Aventura, Biografía",2010,18.000.000$,94 minutos,EE.UU.,127 hours
The Croods,#447,"DreamWorks SKG, 20th Century Fox",2013,,98 minutos,EE.UU.,The Croods
The Best of Me,#448,"Drama, Romance",2014,26.000.000$,117 minutos,EE.UU.,The Best of Me
Project Almanac,#444,"Ciencia ficción, Thriller",2014,12.000.000$,106 minutos,EE.UU.,Project Almanac
,#446,"Aventura, Misterio, Thriller",2015,,,Maze Runner: The Scorch Trials,
,#443,,2002,,,Ice Age,
,#445,"Misterio, Ciencia ficción, Thriller",2014,,,The Maze Runner,
The Straight Story,#441,"Aventura, Biografía, Drama",1999,10.000.000$,111 minutos,Reino Unido,The Straight Story
Amour,#442,Golem Distribución,2012,,125 minutos,Francia,Amour
World War Z,#436,"Acción, Terror, Ciencia ficción",2013,170.000.000$,116 minutos,EE.UU.,World War Z
Se7en,#439,"Thriller, Crimen, Acción",1995,33.000.000$,126 minutos,EE.UU.,Se7en
Soul Surfer,#438,Walt Disney Pictures,2011,,106 minutos,EE.UU.,Soul Surfer
The Karate Kid,#435,Columbia Pictures,2010,,140 minutos,EE.UU.,The Karate Kid
"Amanece, que no es poco",#437,,1989,,110 minutos,España,"Amanece, que no es poco"
Tenkû no shiro Rapyuta,#433,Studio Ghibli,1986,,124 minutos,Japón,Tenkû no shiro Rapyuta
Mononoke-hime,#432,Studio Ghibli,1997,,133 minutos,Japón,Mononoke-hime
Harold and Maude,#440,"Comedia, Romance",1971,1.200.000$,91 minutos,EE.UU.,Harold and Maude
El ángel exterminador,#430,,1962,,95 minutos,España,El ángel exterminador
Doctor Zhivago,#434,"Drama, Romance, Historia",1965,11.000.000$,197 minutos,EE.UU.,Doctor Zhivago
Out of Africa,#431,"Biografía, Drama, Romance",1985,31.000.000$,161 minutos,EE.UU.,Out of Africa
Volando voy,#427,,2005,,100 minutos,España,Volando voy
Die Welle,#423,"Drama, Suspense",2008,5.000.000€,101 minutos,Alemania,Die Welle
Collateral,#426,"Crimen, Drama, Thriller",2004,65.000.000$,120 minutos,EE.UU.,Collateral
Stalker,#425,Mosfilm,1979,,163 minutos,Rusia,Stalker
Celda 211,#428,Paramount Pictures,2009,,110 minutos,España,Celda 211
The Apartment,#424,"Drama, Comedia, Romance",1960,3.000.000$,125 minutos,EE.UU.,The Apartment
Smoke,#422,,1995,,108 minutos,EE.UU.,Smoke
Smultronstället,#417,,1957,,91 minutos,Suecia,Smultronstället
Papillon,#419,"Drama, Aventura",1973,12.000.000$,150 minutos,EE.UU.,Papillon
,#420,,2010,,,Despicable Me,
El Bola,#429,,2000,,88 minutos,España,El Bola
,#416,,2011,,,Rise of the Planet of the Apes,
Breakfast at Tiffany's,#414,,1961,,115 minutos,EE.UU.,Breakfast at Tiffany's
,#413,,2014,,,The Amazing Spider-Man 2: Rise of Electro,
The Martian,#412,"20th Century Fox, Scott Free Productions",2015,,142 minutos,EE.UU.,The Martian
Now You See Me: The Second Act,#421,"Lionsgate, Summit Entertainment",2016,,129 minutos,EE.UU.,Now You See Me: The Second Act
Amadeus,#415,Orion Pictures,1984,,180 minutos,EE.UU.,Amadeus
,#410,"Acción, Ciencia ficción",2015,,,Ant-Man,
Midnight Cowboy,#407,Drama,1969,3.600.000$,113 minutos,EE.UU.,Midnight Cowboy
The Game,#408,"Thriller, Drama, Misterio",1997,50.000.000$,129 minutos,EE.UU.,The Game
Misery,#411,Thriller,1990,20.000.000$,107 minutos,EE.UU.,Misery
Die fetten Jahre sind vorbei,#404,,2004,,123 minutos,Alemania,Die fetten Jahre sind vorbei
The Wolf of Wall Street,#406,"Thriller, Crimen",2013,100.000.000$,180 minutos,EE.UU.,The Wolf of Wall Street
,#403,"Acción, Thriller",2006,,,The Fast and the Furious: Tokyo Drift,
Mulholland Dr.,#409,"Drama, Thriller, Misterio",2001,15.000.000$,145 minutos,EE.UU.,Mulholland Dr.
Cars,#402,"Animación, Aventura, Comedia",2006,120.000.000$,121 minutos,EE.UU.,Cars
Master and Commander: The Far Side of the World,#400,"Acción, Aventura, Drama",2003,150.000.000$,138 minutos,EE.UU.,Master and Commander: The Far Side of the World
Monsters University,#418,Pixar Animation Studios,2013,,110 minutos,EE.UU.,Monsters University
Twelve Years a Slave,#398,"Drama, Historia, Biografía",2013,20.000$,133 minutos,EE.UU.,Twelve Years a Slave
Wilby Wonderful,#395,,2004,,98 minutos,Canadá,Wilby Wonderful
To kill a mockingbird,#393,"Drama, Crimen, Misterio",1962,2.000.000$,124 minutos,EE.UU.,To kill a mockingbird
,#396,,2017,,,Wonder Woman,
,#399,,2003,,,2 Fast 2 Furious,
The Prestige,#405,"Thriller, Drama, Fantasía",2006,40.000.000$,128 minutos,EE.UU.,The Prestige
Ladri di biciclette,#397,,1948,,88 minutos,Italia,Ladri di biciclette
Point Break,#390,"Acción, Deporte",1991,24.000.000€,117 minutos,EE.UU.,Point Break
On the Waterfront,#389,Columbia Pictures,1954,,103 minutos,EE.UU.,On the Waterfront
Small Wonders,#392,,1995,,77 minutos,EE.UU.,Small Wonders
Madagascar,#394,"Animación, Aventura, Comedia",2005,75.000.000$,80 minutos,EE.UU.,Madagascar
Unbroken,#391,"Universal Pictures, Legendary Pictures",2014,,137 minutos,EE.UU.,Unbroken
Asesinos inocentes,#388,Filmax,2015,,95 minutos,España,Asesinos inocentes
Lucy,#387,"Acción, Ciencia ficción",2014,40.000.000$,89 minutos,EE.UU.,Lucy
Scarface,#401,"Crimen, Acción, Drama",1983,25.000.000$,164 minutos,EE.UU.,Scarface
Inside Out,#384,"Animación, Comedia, Familiar",2015,175.000.000$,102 minutos,EE.UU.,Inside Out
Tron,#386,Walt Disney Pictures,1982,,96 minutos,EE.UU.,Tron
A Monster Calls,#378,"Aventura, Drama, Fantasía",2016,43.000.000$,108 minutos,España,A Monster Calls
The Great Gatsby,#380,Drama,2013,127.000.000$,143 minutos,EE.UU.,The Great Gatsby
A Streetcar Named Desire,#377,,1951,,120 minutos,EE.UU.,A Streetcar Named Desire
Ricki and the Flash,#383,"Comedia, Drama, Música",2015,18.000.000$,101 minutos,EE.UU.,Ricki and the Flash
,#381,"Animación, Aventura, Comedia",2007,,,Shrek the Third,
Green Lantern,#382,"Warner Bros. Pictures, DC Comics",2011,,114 minutos,EE.UU.,Green Lantern
Children of Men,#373,"Ciencia ficción, Guerra, Thriller",2006,76.000.000$,114 minutos,Reino Unido,Children of Men
Sen to Chihiro no kamikakushi,#376,"Animación, Fantasía, Familiar",2001,15.000.000,125 minutos,Japón,Sen to Chihiro no kamikakushi
Shutter Island,#372,"Paramount Pictures, Vértice Cine",2010,,138 minutos,EE.UU.,Shutter Island
La tigre e la neve,#370,,2005,,118 minutos,Italia,La tigre e la neve
Bicentennial Man,#369,"Drama, Familiar, Fantasía",1999,1.000.000.000$,132 minutos,EE.UU.,Bicentennial Man
Along Came a Spider,#375,"Thriller, Crimen, Misterio",2001,60.000.000$,104 minutos,EE.UU.,Along Came a Spider
,#368,,1985,,,Rocky IV,
Edward Scissorhands,#371,"Drama, Fantasía, Romance",1990,20.000.000$,105 minutos,EE.UU.,Edward Scissorhands
La grande bellezza,#374,Wanda Films,2013,,142 minutos,Italia,La grande bellezza
Patch Adams,#379,"Comedia, Drama",1998,50.000.000$,115 minutos,EE.UU.,Patch Adams
Gattaca,#365,"Ciencia ficción, Drama, Romance",1997,36.000.000$,106 minutos,EE.UU.,Gattaca
Pearl Harbor,#385,"Acción, Drama, Romance",2001,140.000.000$,183 minutos,EE.UU.,Pearl Harbor
The Normal Heart,#366,,2014,,132 minutos,EE.UU.,The Normal Heart
August: Osage County,#367,"Comedia, Drama",2013,50.000.000$,121 minutos,EE.UU.,August: Osage County
,#364,"Walt Disney Pictures, Lucasfilm",2019,,,Star Wars: Episode IX,
The Sting,#360,"Comedia, Crimen, Drama",1973,5.500.000$,129 minutos,EE.UU.,The Sting
Shaun of the Dead,#363,,2004,,99 minutos,Reino Unido,Shaun of the Dead
Casino,#359,"Biografía, Crimen, Drama",1995,52.000.000$,178 minutos,EE.UU.,Casino
Gifted,#356,Drama,2017,7.000.000$,101 minutos,EE.UU.,Gifted
K-Pax,#361,"Ciencia ficción, Drama",2001,48.000.000$,120 minutos,EE.UU.,K-Pax
,#354,"Acción, Ciencia ficción",2013,,,Thor: The Dark World,
Captain Phillips,#357,Sony Pictures Releasing,2013,,134 minutos,EE.UU.,Captain Phillips
The Departed,#352,"Crimen, Thriller, Misterio",2006,90.000.000$,152 minutos,EE.UU.,The Departed
Solyaris,#353,,1972,,167 minutos,Rusia,Solyaris
Magical Girl,#355,Avalon Films,2014,,127 minutos,España,Magical Girl
,#358,"Lucasfilm, Walt Disney Pictures",2018,,,Solo: A Star Wars Story,
Dans la maison,#362,"Wild Bunch, Golem Distribución",2012,,105 minutos,Francia,Dans la maison
Cut Bank,#349,,2014,,92 minutos,EE.UU.,Cut Bank
,#347,"Crimen, Drama, Misterio",2009,,,Angels & Demons,
,#348,,2017,,,Pirates of the Caribbean: Dead Men Tell No Tales,
Beauty and the Beast,#346,"Fantasía, Música, Romance",2017,160.000.000$,129 minutos,EE.UU.,Beauty and the Beast
Crimes and Misdemeanors,#350,"Drama, Comedia, Crimen",1989,19.000.000$,104 minutos,EE.UU.,Crimes and Misdemeanors
Le fate ignoranti,#345,,2001,,106 minutos,Italia,Le fate ignoranti
Steel Magnolias,#351,"TriStar Pictures, Columbia Pictures",1989,,114 minutos,EE.UU.,Steel Magnolias
,#338,"Acción, Drama, Ciencia ficción",2011,,,X-Men: First Class,
The Drop,#336,"Fox Searchlight Pictures, 20th Century Fox",2014,,106 minutos,EE.UU.,The Drop
Monty Python and the Holy Grail,#344,"Comedia, Fantasía, Aventura",1974,229.575,91 minutos,Reino Unido,Monty Python and the Holy Grail
,#341,"Animación, Acción, Aventura",2008,,,Star Wars: The Clone Wars,
Focus,#339,Warner Bros. Pictures,2014,,104 minutos,EE.UU.,Focus
,#334,,1984,,,The Terminator,
,#343,,2015,,,Mad Max: Fury Road,
Inside Llewyn Davis,#337,"Studio Canal, Universal Pictures",2013,,105 minutos,EE.UU.,Inside Llewyn Davis
,#340,"Acción, Ciencia ficción, Terror",1992,,,Alien 3,
Frozen,#335,Walt Disney Pictures,2013,,108 minutos,EE.UU.,Frozen
Midnight Express,#332,"Drama, Crimen, Historia",1978,2.300.000$,121 minutos,EE.UU.,Midnight Express
The Color Purple,#333,Drama,1985,15.000.000$,154 minutos,EE.UU.,The Color Purple
,#342,"Acción, Thriller",2015,,,Mission: Impossible Rogue Nation,
Basic Instinct,#327,"Thriller, Crimen, Misterio",1992,40.000.000$,130 minutos,EE.UU.,Basic Instinct
Jackie Brown,#329,"Crimen, Drama, Thriller",1997,12.000.000$,154 minutos,EE.UU.,Jackie Brown
La isla mínima,#331,,2014,,"Acción, Drama, Thriller",España,La isla mínima
Dune,#322,Universal Pictures,1984,,145 minutos,EE.UU.,Dune
Warcraft,#325,"Atlas Entertainment, Legendary Pictures",2016,,123 minutos,EE.UU.,Warcraft
Moana,#330,"Animación, Aventura",2016,150.000.000$,103 minutos,EE.UU.,Moana
The Animal,#326,Comedia,2001,22.000.000$,84 minutos,EE.UU.,The Animal
Rear Window,#320,"Suspense, Misterio, Crimen",1954,1.000.000$,112 minutos,EE.UU.,Rear Window
Goosebumps,#319,"Aventura, Comedia, Fantasía",2015,58.000.000$,103 minutos,EE.UU.,Goosebumps
King Arthur: Legend of the Sword,#324,"Acción, Aventura, Drama",2017,148.675$,126 minutos,Reino Unido,King Arthur: Legend of the Sword
,#323,"Misterio, Thriller",2006,,,The Da Vinci Code,
Citizen Kane,#328,Drama,1941,686.033$,119 minutos,EE.UU.,Citizen Kane
The Revenant,#321,"Aventura, Drama",2015,60.000.000$,156 minutos,EE.UU.,The Revenant
,#316,,1991,,,Terminator 2: Judgment Day,
Doubt,#318,"Drama, Misterio",2009,20.000.000$,104 minutos,EE.UU.,Doubt
Relatos salvajes,#317,"Comedia, Thriller",2014,3$,122 minutos,Argentina,Relatos salvajes
Kramer versus Kramer,#314,Columbia Pictures,1979,,104 minutos,EE.UU.,Kramer versus Kramer
Mujeres al borde de un ataque de nervios,#313,,1987,,84 minutos,España,Mujeres al borde de un ataque de nervios
Les choristes,#315,"Drama, Música",2004,5.500.000€,95 minutos,Francia,Les choristes
"I, Robot",#307,"Acción, Misterio, Ciencia ficción",2004,120.000.000$,123 minutos,EE.UU.,"I, Robot"
Network,#308,Drama,1976,3.800.000$,121 minutos,EE.UU.,Network
Little Women,#312,"Drama, Romance",1994,15.000.000$,115 minutos,EE.UU.,Little Women
El secreto de sus ojos,#305,"Tornasol Films, Canal+",2009,,127 minutos,Argentina,El secreto de sus ojos
,#309,"Acción, Aventura, Thriller",2012,,,The Amazing Spider-Man,
Assassin's Creed,#311,"New Regency Pictures, Twentieth Century-Fox",2016,,,EE.UU.,Assassin's Creed
The Damned United,#306,"BBC Films, Sony Pictures Releasing",2009,,97 minutos,Reino Unido,The Damned United
Cinderella,#310,Walt Disney Pictures,2015,,105 minutos,EE.UU.,Cinderella
On Golden Pond,#304,Universal Pictures,1981,,109 minutos,EE.UU.,On Golden Pond
,#90,,2011,,,James Bond: Skyfall,
,#88,,2010,,,Harry Potter and the Deathly Hallows: Part I,
,#86,,2002,,,Harry Potter and the Chamber of Secrets,
,#84,Comedia,2014,,,8 apellidos vascos,
Trainspotting,#302,"Drama, Crimen",1996,3.500.000$,94 minutos,Reino Unido,Trainspotting
,#82,"Fantasía, Aventura",2013,,,The Hobbit: The Desolation of Smaug,
,#301,,2013,,,Iron Man 3,
Eternal Sunshine of the Spotless Mind,#81,"Drama, Romance, Ciencia ficción",2004,20.000.000€,108 minutos,EE.UU.,Eternal Sunshine of the Spotless Mind
,#87,,2013,,,Man of Steel,
,#83,,2004,,,Shrek 2,
The Silence of the Lambs,#85,"Suspense, Crimen, Terror",1991,19.000.000$,118 minutos,EE.UU.,The Silence of the Lambs
,#89,,2001,,,Shrek,
,#303,Terror,2005,,,Saw 2,
,#79,,2017,,,Guardians of the Galaxy Vol. 2,
12 Angry Men,#75,Drama,1957,350.000$,95 minutos,EE.UU.,12 Angry Men
,#74,,1989,,,Indiana Jones and the Last Crusade,
,#77,,2017,,,Logan,
,#73,,1984,,,Ghostbusters,
"Il buono, il brutto, il cattivo",#78,"Western, Aventura",1966,120.000$,182 minutos,Italia,"Il buono, il brutto, il cattivo"
Casablanca,#80,"Drama, Romance, Guerra",1942,950.000$,102 minutos,EE.UU.,Casablanca
,#69,"Fantasía, Aventura",2014,,,The Hobbit: There and Back Again,
It's a Wonderful Life,#70,"Drama, Familiar, Fantasía",1946,3.180.000$,129 minutos,EE.UU.,It's a Wonderful Life
,#68,,1999,,,The Matrix,
Whiplash,#71,"Drama, Música",2014,3.300.000$,106 minutos,EE.UU.,Whiplash
Watchmen,#76,"Warner Bros. Pictures, DC Comics",2009,,163 minutos,EE.UU.,Watchmen
Cinema Paradiso,#65,A Contracorriente Films,1988,,155 minutos,Italia,Cinema Paradiso
Scoop,#67,"Comedia, Fantasía, Misterio",2006,4.000.000$,96 minutos,Reino Unido,Scoop
Lost in Traslation,#64,Drama,2003,4.000.000$,105 minutos,EE.UU.,Lost in Traslation
2001: A Space Odyssey,#72,"Aventura, Misterio, Ciencia ficción",1968,10.500.000$,160 minutos,EE.UU.,2001: A Space Odyssey
,#62,,1983,,,Star Wars: Episode VI - Return of the Jedi,
,#66,,2007,,,Pirates of the Caribbean: At World's End,
,#59,,2005,,,Harry Potter and the Goblet of Fire,
,#58,,2002,,,Star Wars: Episode II - Attack of the Clones,
,#57,"Acción, Aventura, Ciencia ficción",2013,,,The Hunger Games: Catching Fire,
,#55,,2015,,,Jurassic World,
,#63,,2006,,,Pirates of the Caribbean: Dead Man's Chest,
WALL-E,#54,"Animación, Comedia, Familiar",2008,180.000.000$,98 minutos,EE.UU.,WALL-E
E.T.: The Extra-Terrestrial,#56,Ciencia ficción,1982,10.500.000$,115 minutos,EE.UU.,E.T.: The Extra-Terrestrial
,#60,,2014,,,X-men: Days of Future Past,
Django Unchained,#61,"Western, Acción, Drama",2012,100.000.000$,165 minutos,EE.UU.,Django Unchained
,#53,,2014,,,Guardians of the Galaxy,
Gone With the Wind,#50,"Drama, Romance, Guerra",1939,3.977.000$,238 minutos,EE.UU.,Gone With the Wind
A Clockwork Orange,#49,"Crimen, Drama, Ciencia ficción",1971,2.200.000$,136 minutos,EE.UU.,A Clockwork Orange
Gravity,#51,"Drama, Misterio, Ciencia ficción",2013,80.000.000$,90 minutos,EE.UU.,Gravity
Psycho,#45,"Terror, Suspense, Thriller",1960,807.000$,109 minutos,EE.UU.,Psycho
,#43,,1999,,,Toy Story 2,
Taxi Driver,#52,"Drama, Thriller",1976,1.300.000$,112 minutos,EE.UU.,Taxi Driver
King Kong,#41,"Acción, Aventura, Drama",2005,207.000.000$,187 minutos,Nueva Zelanda,King Kong
Gladiator,#44,"Acción, Drama, Aventura",2000,103.000.000$,155 minutos,EE.UU.,Gladiator
,#46,,2001,,,Harry Potter and the Sorcerer's Stone,
Up,#42,"Animación, Acción, Aventura",2009,175.000.000$,96 minutos,EE.UU.,Up
Deadpool,#47,"Acción, Ciencia ficción",2016,58.000.000$,106 minutos,EE.UU.,Deadpool
,#48,"Acción, Ciencia ficción, Thriller",2016,,,Captain America: Civil War,
Match Point,#35,"Romance, Crimen, Drama",2005,15.000.000$,124 minutos,Reino Unido,Match Point
Blade Runner,#37,"Drama, Ciencia ficción, Thriller",1982,28.000.000$,117 minutos,EE.UU.,Blade Runner
Brokeback Mountain,#36,"Drama, Romance",2005,14.000.000$,134 minutos,EE.UU.,Brokeback Mountain
The Shining,#40,"Terror, Drama, Misterio",1980,19.000$,146 minutos,EE.UU.,The Shining
,#39,,1979,,,Alien,
The Incredibles,#34,"Animación, Acción, Aventura",2004,92.000.000$,115 minutos,EE.UU.,The Incredibles
,#32,,2015,,,Avengers: Age of Ultron,
,#38,,1993,,,Jurassic Park,
,#30,,1985,,,Back to the future,
"Monsters, Inc.",#33,"Animación, Comedia, Aventura",2001,115.000.000$,92 minutos,EE.UU.,"Monsters, Inc."
,#31,,2005,,,Star Wars. Episode III: Revenge of the Sith,
Fight Club,#25,"Thriller, Misterio, Drama",1999,63.000.000$,139 minutos,EE.UU.,Fight Club
,#27,,2009,,,Avatar,
,#23,,1977,,,Star Wars,
Inception,#21,"Ciencia ficción, Misterio, Drama",2010,160.000.000$,148 minutos,EE.UU.,Inception
,#29,,2014,,,Captain America: The Winter Soldier,
The Pianist,#26,"Drama, Guerra, Biografía",2002,35.000.000$,150 minutos,Reino Unido,The Pianist
,#5,,2008,,,The Dark Knight,
,#4,,1972,,,The Godfather,
,#3,,2012,,,The Avengers,
The Lion King,#22,"Animación, Romance, Comedia",1994,45.000.000$,88 minutos,EE.UU.,The Lion King
Inglorious Basterds,#24,"Acción, Drama, Guerra",2009,70.000.000$,153 minutos,EE.UU.,Inglorious Basterds
,#28,,2011,,,Harry Potter and the Deathly Hallows: Part II,
Million Dollar Baby,#91,"Drama, Deporte",2004,30.000.000$,137 minutos,EE.UU.,Million Dollar Baby
American Beauty,#92,Drama,1999,15.000.000$,122 minutos,EE.UU.,American Beauty
La vita è bella,#2,"Drama, Comedia, Romance",1998,20.000.000€,117 minutos,Italia,La vita è bella
Finding Nemo,#14,"Animación, Aventura, Comedia",2003,94.000.000$,101 minutos,EE.UU.,Finding Nemo
Pulp Fiction,#13,"Thriller, Acción, Crimen",1994,8.000.000$,154 minutos,EE.UU.,Pulp Fiction
